基礎有機化学,鈴木 孝紀
  , 
基礎物理化学,佐田 和己
  , 
物理化学Ⅰ,武次 徹也
  Ⅰ, 
電気化学,村越 敬
, 
物理化学Ⅱ,村越 敬
  Ⅱ, 
固体化学,原田 潤
  , 
物理化学Ⅲ,石森 浩一郎
  Ⅲ, 
物質電子論,佐田 和己
   , 
分子分光学,内田 毅
 , 
熱・統計力学Ⅰ,竹内 浩
  , 
熱・統計力学Ⅱ,丸田 悟朗
  Ⅱ, 
触媒化学,福岡 淳
 , 
ナノ物性化学,西井 準治
 , 
有機化学Ⅰ,澤村 正也
  Ⅰ, 
有機合成化学,鈴木 孝洋
  , 
有機化学Ⅱ,谷野 圭持
  Ⅱ, 
有機金属化学,清水 洋平
 , 
有機化学Ⅲ,及川 英秋
  Ⅲ, 
有機反応化学,南 篤志
   , 
有機機器分析,石垣 侑祐
    , 
無機化学Ⅰ,分島 亮
  Ⅰ, 
基礎磁気化学,分島 亮
 , 
無機化学Ⅱ,加藤 昌子
  Ⅱ, 
錯体化学,小林 厚志
 , 
無機化学Ⅲ,加藤 昌子
  , 
分析化学Ⅰ,上野 貢生
  Ⅰ, 
分析化学Ⅱ,三浦 篤志
  , 
生物化学Ⅰ,坂口 和靖
 Ⅰ, 
情報生化学,坂口 和靖
 , 
生物化学Ⅱ,村上 洋太
 , 
機能生化学,村上 洋太
 , 
遺伝生化学,髙橋 正行
 , 
分子生理学,髙岡 晃教
 , 
量子化学Ⅰ,小林 正人
  , 
量子化学Ⅱ,前田 理
  , 
化学実験Ⅰ,上野 貢生
    , 
化学研究実験,村越 敬
   , 
化学実験Ⅱ,前田 理
    , 
化学実験Ⅲ,鈴木 孝紀
    , 
化学実験Ⅳ,佐田 和己
    , 
化学実験Ⅴ,坂口 和靖
    , 
化学実験Ⅵ,谷野 圭持
    , 
計算機実習,武次 徹也
   , 
化学講読,孫 宇
  ,
物理学通論,丸田 悟朗
 , 
化学文献講読,村越 敬
   , 
化学のための数学,竹内 浩
  , 